NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPO	Huang-1992-1800	GLOSS (can be edit)	Huang_book_Chinese	Huang_book_English	Category	TBL_ID	TBL_ENGLISH	TBL_CHINESE	TBL_CONCEPTICON_ID	TBL_CONCEPTICON_GLOSS	TBL_POS	TBL_EVARS	TBL_CVARS
Chen-2013-888-76	嫂子	sister-in-law (older brother's wife)	592	2695	SISTER-IN-LAW (OLDER BROTHER'S WIFE)		237	sister-in-law (elder brother‘s wife)	嫂子	sister-in-law (elder brother‘s wife)	人物称谓	Huang-1992-1820-237	sister-in-law	嫂子	2317	SISTER-IN-LAW	n		
Chen-2013-888-77	舅父	maternal uncle (mother's brother)	592	2692	MATERNAL UNCLE (MOTHER'S BROTHER)		238	uncle (mother‘s brother)	舅父	uncle (mother‘s brother)	人物称谓	Huang-1992-1820-238	uncle (mother’s borther)	舅父	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	n		
Chen-2013-888-78	舅母	maternal aunt (mother's brother's wife)	592	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)		239	aunt (mother‘s brother‘s wife)	舅母	aunt (mother‘s brother‘s wife)	人物称谓	Huang-1992-1820-239	aunt (mother’s brother’s wife)	舅母	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	n		
Chen-2013-888-79	丈夫	husband	593	1200	HUSBAND		247	husband	丈夫	husband	人物称谓	Huang-1992-1820-247	husband (address) (note:+citation)	丈夫 ((引称))	1200	HUSBAND	n	husband (proper/ honorable) (note:+formal) n||husband (vulgo) (note:-formal) n||husband n||husband (reference) (note:+address) n	丈夫 ((雅称))||丈夫 ((俗称))||丈夫||丈夫 ((对称))
Chen-2013-888-80	妻子	wife	593	1199	WIFE		248	wife	妻子	wife	人物称谓	Huang-1992-1820-248	wife (address) (note:+citation)	妻子 ((引称))	1199	WIFE	n	wife n||wife (reference) (note:+address) n||wife (proper/ honorable) (note:-formal) m||wife (vulgo) (note:+formal) n	妻子||妻子 ((对称))||妻子 ((俗称))||妻子 ((雅称))
Chen-2013-888-81	身体	body	593	1480	BODY		73	body	身体	body	人体部位	Huang-1992-1820-73	body (front) (note:+front)	身体 (前身)	1480	BODY	n		
Chen-2013-888-82	头	head	594	1256	HEAD		74	head	头	head	人体部位	Huang-1992-1820-74	head	头	1256	HEAD	n		
Chen-2013-888-83	头发	hair	594	2648	HAIR (HEAD)		75	hair	头发	hair	人体部位	Huang-1992-1820-75	hair	头发	1040	HAIR	n		
Chen-2013-888-84	辫子	braid/ plait	594	333	PLAIT		76	braid/ plait	辫子	braid/ plait	人体部位	Huang-1992-1820-76	braid / plait (female's) (note:+female)	辫子 ((女人的)~)	1043	BRAID	n		
Chen-2013-888-85	眉毛	eyebrow	595	1173	EYEBROW		78	eyebrow	眉毛	eyebrow	人体部位	Huang-1992-1820-78	eyebrow	眉毛	1173	EYEBROW	n		
Chen-2013-888-86	眼睛	eye	595	1248	EYE		79	eye	眼睛	eye	人体部位	Huang-1992-1820-79	eye	眼睛	1248	EYE	n		
Chen-2013-888-87	鼻子	nose	595	1221	NOSE		80	nose	鼻子	nose	人体部位	Huang-1992-1820-80	nose	鼻子	1221	NOSE	n		
Chen-2013-888-88	耳朵	ear	596	1247	EAR		81	ear	耳朵	ear	人体部位	Huang-1992-1820-81	ear	耳朵	1247	EAR	n		
Chen-2013-888-89	脸	face	596	1560	FACE		82	face	脸	face	人体部位	Huang-1992-1820-82	face (self-respect)	脸 (一画)	1560	FACE	n		
